Player,Country,position,GP (total games from 1-10),GS (can be some or all of games played),MP (equals total minutes from games 1-10,G,HG,PKG,A,S,SOG,SOFF,OFF,CK,YC,RC,YRC,Minutes - Game1,Fantasy Points - Game 1,Minutes - Game2,Fantasy Points - Game 2,Minutes - Game3,Fantasy Points - Game 3,Minutes - Game4,Fantasy Points - Game 4,Minutes - Game5,Fantasy Points - Game 5,Minutes - Game6,Fantasy Points - Game 6,Minutes - Game7,Fantasy Points - Game 7,Minutes - Game8,Fantasy Points - Game 8,Minutes - Game9,Fantasy Points - Game 9,Minutes - Game10,Fantasy Points - Game 10,Narrative
Hakan Çalhanoğlu,Turkey,MID,10,10,787,0,0,0,0,17,6,11,14,32,0,0,0,75,13,90,16,68,17,90,21,60,13,82,22,74,15,90,22,70,10,88,21,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Granit Xhaka,Switzerland,MID,10,10,900,0,0,0,6,16,9,7,10,16,1,1,0,90,25,90,21,90,20,90,17,90,19,90,23,90,16,90,22,90,22,90,18,Final five show a stable fantasy floor with limited volatility.
Franck Kessié,Ivory Coast,MID,10,10,787,1,0,0,2,24,12,12,9,9,0,0,0,75,18,90,16,68,12,90,23,60,16,82,13,74,24,90,24,70,15,88,22,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Weston McKennie,United States,MID,10,10,787,1,0,0,2,15,7,8,9,6,1,1,0,75,22,90,21,68,17,90,12,60,18,82,20,74,18,90,18,70,18,88,9,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
John McGinn,Scotland,MID,10,10,787,2,0,0,3,22,15,7,13,5,3,0,0,75,14,90,23,68,15,90,22,60,18,82,19,74,13,90,14,70,11,88,25,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Scott McTominay,Scotland,MID,10,10,787,2,0,0,2,21,12,9,13,8,2,0,0,75,24,90,23,68,18,90,23,60,15,82,20,74,16,90,23,70,15,88,16,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Marcel Sabitzer,Austria,MID,10,10,787,0,0,0,2,19,7,12,7,14,0,0,0,75,22,90,19,68,12,90,18,60,8,82,15,74,15,90,19,70,18,88,19,Final five show a stable fantasy floor with limited volatility.
Tijjani Reijnders,Netherlands,MID,10,10,787,0,0,0,2,21,10,11,13,13,1,1,0,75,12,90,16,68,12,90,16,60,12,82,20,74,16,90,21,70,12,88,24,Final five show a clear upward trend with stronger event production layered on top of minutes.
Thomas Partey,Ghana,MID,10,10,900,4,0,0,1,18,9,9,7,10,0,0,0,90,19,90,21,90,19,90,19,90,14,90,26,90,22,90,19,90,29,90,28,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Azzedine Ounahi,Morocco,MID,10,10,787,0,0,0,2,15,10,5,9,7,1,1,0,75,16,90,16,68,19,90,18,60,6,82,15,74,14,90,22,70,17,88,21,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Junya Itō,Japan,MID,10,10,787,1,0,0,4,16,7,9,12,11,2,0,0,75,20,90,17,68,15,90,24,60,8,82,22,74,11,90,22,70,20,88,20,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Kylian Mbappé,France,FWD,10,10,843,4,0,0,2,56,33,23,11,0,1,0,0,90,23,84,12,90,16,73,16,89,25,90,20,65,28,90,13,82,22,90,25,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Lionel Messi,Argentina,FWD,10,10,787,3,0,0,3,54,29,25,18,0,1,0,0,75,21,90,31,68,9,90,19,60,22,82,24,74,19,90,18,70,9,88,25,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Harry Kane,England,FWD,10,10,900,2,0,0,3,53,29,24,18,0,1,1,0,90,11,90,16,90,25,90,19,90,28,90,28,90,18,90,23,90,23,90,25,Final five show a high-confidence hot streak with consistently strong fantasy returns.
Vinícius Júnior,Brazil,FWD,10,10,843,6,0,0,2,55,25,30,15,0,0,0,0,90,23,84,15,90,26,73,27,89,25,90,13,65,13,90,25,82,30,90,21,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Erling Haaland,Norway,FWD,10,10,843,3,0,0,1,45,26,19,19,0,0,0,0,90,25,84,12,90,28,73,10,89,35,90,13,65,20,90,30,82,21,90,22,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Lamine Yamal,Spain,FWD,10,10,843,4,0,0,2,32,21,11,22,0,1,0,0,90,16,84,19,90,26,73,32,89,20,90,23,65,24,90,13,82,19,90,18,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Mohamed Salah,Egypt,FWD,10,10,843,4,0,0,1,47,30,17,19,0,0,0,0,90,28,84,17,90,28,73,27,89,18,90,16,65,20,90,30,82,20,90,13,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Luis Díaz,Colombia,FWD,10,10,843,2,0,0,0,41,27,14,17,0,1,0,0,90,22,84,24,90,26,73,17,89,13,90,22,65,16,90,23,82,15,90,20,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Jonathan David,Canada,FWD,10,10,843,3,0,0,2,38,24,14,23,0,2,0,0,90,25,84,23,90,30,73,13,89,22,90,20,65,8,90,33,82,19,90,20,Final five show boom-bust output: a major ceiling game mixed with quieter starts.
Heung-min Son,South Korea,FWD,10,10,787,1,0,0,0,34,22,12,18,0,1,1,0,75,20,90,13,68,19,90,20,60,19,82,24,74,19,90,20,70,5,88,27,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Cristiano Ronaldo,Portugal,FWD,10,10,843,0,0,0,1,34,23,11,22,0,1,0,0,90,20,84,21,90,23,73,15,89,16,90,13,65,20,90,25,82,19,90,21,Final five show realistic match-to-match variance with stronger fantasy movement than minutes alone.
Romelu Lukaku,Belgium,FWD,10,10,843,2,0,0,0,30,18,12,25,0,1,0,0,90,20,84,24,90,16,73,13,89,16,90,16,65,15,90,25,82,22,90,30,Final five show a clear upward trend with stronger event production layered on top of minutes.
