Player,Country,position,GP (total games from 1-10),GS (can be some or all of games played),MP (equals total minutes from games 1-10,G,HG,PKG,A,S,SOG,SOFF,OFF,CK,YC,RC,YRC,Minutes - Game1,Fantasy Points - Game 1,Minutes - Game2,Fantasy Points - Game 2,Minutes - Game3,Fantasy Points - Game 3,Minutes - Game4,Fantasy Points - Game 4,Minutes - Game5,Fantasy Points - Game 5,Minutes - Game6,Fantasy Points - Game 6,Minutes - Game7,Fantasy Points - Game 7,Minutes - Game8,Fantasy Points - Game 8,Minutes - Game9,Fantasy Points - Game 9,Minutes - Game10,Fantasy Points - Game 10,Narrative
Kalidou Koulibaly,Senegal,Def,10,10,900,1,1,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
David Alaba,Austria,Def,10,10,900,1,0,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
César Montes,Mexico,Def,10,10,900,1,1,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Michael Amir Murillo,Panama,Def,10,10,900,1,0,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Chancel Mbemba,DR Congo,Def,10,10,900,1,0,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Ferdi Kadıoğlu,Turkey,Def,10,10,823,2,0,0,4,15,6,9,1,5,2,0,0,62,11,70,9,76,15,82,12,85,14,88,17,90,12,90,15,90,13,90,16,"Final five show rising form, heavier minutes, and stronger fantasy involvement."
Victor Lindelöf,Sweden,Def,10,10,900,1,0,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Gustavo Gómez,Paraguay,Def,10,10,900,1,0,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Aymeric Laporte,Spain,Def,10,10,900,1,0,0,1,8,3,5,1,0,2,0,0,90,11,90,12,90,11,90,13,90,11,90,14,90,12,90,13,90,12,90,14,Final five show a reliable full-match starter with stable fantasy output.
Jude Bellingham,England,MID,10,10,843,4,0,0,5,28,12,16,2,18,2,0,0,90,14,84,12,90,18,73,12,89,15,90,19,65,12,90,17,82,15,90,18,Final five show volatile fantasy production with several high-ceiling games.
Rodri,Spain,MID,10,10,900,1,0,0,2,10,4,6,2,1,2,0,0,90,11,90,12,90,11,90,13,90,12,90,13,90,12,90,14,90,12,90,13,Final five show a reliable full-match starter with stable fantasy output.
Kevin De Bruyne,Belgium,MID,9,8,679,4,0,0,5,28,12,16,2,18,2,0,0,90,14,88,12,72,17,0,0,25,9,63,17,76,13,85,17,90,15,90,18,Final five show a return from injury with minutes ramping back to full matches.
Jamal Musiala,Germany,MID,10,10,823,4,0,0,5,28,12,16,2,18,2,0,0,62,12,70,10,76,17,82,13,85,15,88,19,90,14,90,17,90,15,90,18,"Final five show rising form, heavier minutes, and stronger fantasy involvement."
Florian Wirtz,Germany,MID,10,10,787,4,0,0,5,28,12,16,2,18,2,0,0,75,13,90,12,68,16,90,13,60,12,82,19,74,13,90,17,70,13,88,18,Final five show managed minutes but continued high involvement when starting.
Bruno Fernandes,Portugal,MID,10,10,900,4,0,1,5,28,12,16,2,18,2,0,0,90,14,90,12,90,18,90,13,90,15,90,19,90,14,90,17,90,15,90,18,Final five show a reliable full-match starter with stable fantasy output.
Enzo Fernández,Argentina,MID,10,10,787,2,0,0,3,18,7,11,2,7,2,0,0,75,11,90,11,68,13,90,12,60,10,82,16,74,11,90,15,70,11,88,15,Final five show managed minutes but continued high involvement when starting.
Martin Ødegaard,Norway,MID,10,10,787,4,0,0,5,28,12,16,2,18,2,0,0,75,13,90,12,68,16,90,13,60,12,82,19,74,13,90,17,70,13,88,18,Final five show managed minutes but continued high involvement when starting.
Luka Modrić,Croatia,MID,10,10,787,2,0,0,3,18,7,11,2,7,2,0,0,75,11,90,11,68,13,90,12,60,10,82,16,74,11,90,15,70,11,88,15,Final five show managed minutes but continued high involvement when starting.
Hakan Çalhanoğlu,Turkey,MID,10,10,787,2,0,1,3,18,7,11,2,7,2,0,0,75,11,90,11,68,13,90,12,60,10,82,16,74,11,90,15,70,11,88,15,Final five show managed minutes but continued high involvement when starting.
Granit Xhaka,Switzerland,MID,10,10,900,1,0,0,2,10,4,6,2,1,2,0,0,90,11,90,12,90,11,90,13,90,12,90,13,90,12,90,14,90,12,90,13,Final five show a reliable full-match starter with stable fantasy output.
Franck Kessié,Ivory Coast,MID,10,10,787,1,0,0,2,10,4,6,2,1,2,0,0,75,10,90,12,68,9,90,13,60,9,82,13,74,11,90,14,70,10,88,13,Final five show managed minutes but continued high involvement when starting.
Weston McKennie,United States,MID,10,10,787,2,0,0,3,18,7,11,2,7,2,0,0,75,11,90,11,68,13,90,12,60,10,82,16,74,11,90,15,70,11,88,15,Final five show managed minutes but continued high involvement when starting.
John McGinn,Scotland,MID,10,10,787,2,0,0,3,18,7,11,2,7,2,0,0,75,11,90,11,68,13,90,12,60,10,82,16,74,11,90,15,70,11,88,15,Final five show managed minutes but continued high involvement when starting.
Scott McTominay,Scotland,MID,10,10,787,2,0,0,3,18,7,11,2,7,2,0,0,75,11,90,11,68,13,90,12,60,10,82,16,74,11,90,15,70,11,88,15,Final five show managed minutes but continued high involvement when starting.
Marcel Sabitzer,Austria,MID,10,10,787,2,0,0,3,18,7,11,2,7,2,0,0,75,11,90,11,68,13,90,12,60,10,82,16,74,11,90,15,70,11,88,15,Final five show managed minutes but continued high involvement when starting.
Tijjani Reijnders,Netherlands,MID,10,10,787,2,0,0,3,18,7,11,2,7,2,0,0,75,11,90,11,68,13,90,12,60,10,82,16,74,11,90,15,70,11,88,15,Final five show managed minutes but continued high involvement when starting.
Thomas Partey,Ghana,MID,10,10,900,1,0,0,2,10,4,6,2,1,2,0,0,90,11,90,12,90,11,90,13,90,12,90,13,90,12,90,14,90,12,90,13,Final five show a reliable full-match starter with stable fantasy output.
Azzedine Ounahi,Morocco,MID,10,10,787,2,0,0,3,18,7,11,2,7,2,0,0,75,11,90,11,68,13,90,12,60,10,82,16,74,11,90,15,70,11,88,15,Final five show managed minutes but continued high involvement when starting.
Junya Itō,Japan,MID,10,10,787,2,0,0,3,18,7,11,2,7,2,0,0,75,11,90,11,68,13,90,12,60,10,82,16,74,11,90,15,70,11,88,15,Final five show managed minutes but continued high involvement when starting.
Kylian Mbappé,France,FWD,10,10,843,7,0,1,3,36,18,18,8,0,1,0,0,90,16,84,11,90,21,73,12,89,17,90,23,65,10,90,20,82,14,90,22,Final five show volatile fantasy production with several high-ceiling games.
Lionel Messi,Argentina,FWD,10,10,787,7,0,1,3,36,18,18,8,0,1,0,0,75,15,90,11,68,19,90,13,60,14,82,23,74,11,90,20,70,12,88,22,Final five show managed minutes but continued high involvement when starting.
Harry Kane,England,FWD,10,10,900,7,0,1,3,36,18,18,8,0,1,0,0,90,16,90,11,90,21,90,13,90,17,90,23,90,12,90,20,90,14,90,22,Final five show a reliable full-match starter with stable fantasy output.
Vinícius Júnior,Brazil,FWD,10,10,843,7,0,0,3,36,18,18,8,0,1,0,0,90,16,84,11,90,21,73,12,89,17,90,23,65,10,90,20,82,14,90,22,Final five show volatile fantasy production with several high-ceiling games.
Erling Haaland,Norway,FWD,10,10,843,7,0,0,3,36,18,18,8,0,1,0,0,90,16,84,11,90,21,73,12,89,17,90,23,65,10,90,20,82,14,90,22,Final five show volatile fantasy production with several high-ceiling games.
Lamine Yamal,Spain,FWD,10,10,843,4,0,0,2,24,11,13,5,0,1,0,0,90,13,84,10,90,17,73,11,89,14,90,18,65,9,90,16,82,13,90,17,Final five show volatile fantasy production with several high-ceiling games.
Mohamed Salah,Egypt,FWD,10,10,843,7,0,1,3,36,18,18,8,0,1,0,0,90,16,84,11,90,21,73,12,89,17,90,23,65,10,90,20,82,14,90,22,Final five show volatile fantasy production with several high-ceiling games.
Luis Díaz,Colombia,FWD,10,10,843,4,0,0,2,24,11,13,5,0,1,0,0,90,13,84,10,90,17,73,11,89,14,90,18,65,9,90,16,82,13,90,17,Final five show volatile fantasy production with several high-ceiling games.
Jonathan David,Canada,FWD,10,10,843,4,0,0,2,24,11,13,5,0,1,0,0,90,13,84,10,90,17,73,11,89,14,90,18,65,9,90,16,82,13,90,17,Final five show volatile fantasy production with several high-ceiling games.
Heung-min Son,South Korea,FWD,10,10,787,4,0,0,2,24,11,13,5,0,1,0,0,75,12,90,10,68,15,90,12,60,11,82,18,74,10,90,16,70,11,88,17,Final five show managed minutes but continued high involvement when starting.
Cristiano Ronaldo,Portugal,FWD,10,10,843,4,0,0,2,24,11,13,5,0,1,0,0,90,13,84,10,90,17,73,11,89,14,90,18,65,9,90,16,82,13,90,17,Final five show volatile fantasy production with several high-ceiling games.
Romelu Lukaku,Belgium,FWD,10,10,843,4,0,0,2,24,11,13,5,0,1,0,0,90,13,84,10,90,17,73,11,89,14,90,18,65,9,90,16,82,13,90,17,Final five show volatile fantasy production with several high-ceiling games.
